# BUSCO version is: 3.0.2
# The lineage dataset is: endopterygota_odb9 (Creation date: 2016-02-13, number of species: 35, number of BUSCOs: 2442)
# To reproduce this run: python /pub46/samw/bin/busco_v3/scripts/run_BUSCO.py -i ./SSC_integrated_renamed.fa -o Px_Chrs -l /pub46/samw/bin/busco_v3/DB/endopterygota_odb9/ -m genome -c 60 --long --limit 4 -z -sp heliconius_melpomene1
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090R0005	Complete	Chr12	2004686	2061810	8759.4	12383
EOG090R000A	Fragmented	Chr12	770911	776255	1059.6	1058
EOG090R0019	Complete	Chr13	10370813	10384440	4228.0	2111
EOG090R001E	Complete	Chr12	8639893	8650436	1052.3	1556
EOG090R001T	Complete	Chr30	1373237	1435379	3889.0	2131
EOG090R001Z	Complete	Chr17	8415944	8428058	2658.2	2309
EOG090R0020	Complete	Chr05	12695659	12723055	1198.5	2274
EOG090R002B	Complete	Chr19	8216726	8278660	2711.9	1718
EOG090R002C	Fragmented	Chr23	5593741	5604705	483.2	562
EOG090R002D	Complete	Chr08	2517973	2545851	4602.3	2032
EOG090R002O	Complete	Chr1z	8883365	8897618	2057.0	1755
EOG090R003E	Complete	Chr16	2189349	2242985	2769.3	1681
EOG090R003F	Complete	Chr25	6441848	6497592	2854.1	2109
EOG090R003U	Missing
EOG090R0046	Complete	Chr29	6672973	6685102	2657.3	1830
EOG090R004J	Complete	Chr15	1504344	1545859	4202.4	2201
EOG090R004K	Complete	Chr1z	10122241	10134302	438.6	408
EOG090R004Q	Complete	Chr25	3235588	3261984	1603.0	1413
EOG090R005M	Complete	Chr12	8118620	8135793	636.6	515
EOG090R005O	Complete	Chr04	8900239	8905932	2855.1	1625
EOG090R005P	Complete	Chr25	2903023	2951306	2419.7	1767
EOG090R005Z	Complete	Chr22	1875836	1914013	1660.3	1406
EOG090R0062	Complete	Chr15	10739215	10788232	2981.3	2034
EOG090R006N	Complete	Chr29	10078997	10096242	711.2	633
EOG090R006P	Complete	Chr27	127678	146444	2479.0	1369
EOG090R0076	Complete	Chr22	1815141	1842534	1116.0	700
EOG090R007H	Complete	Chr16	28241	58507	2980.7	1459
EOG090R007V	Complete	Chr02	3302843	3349784	1402.6	1173
EOG090R0080	Complete	Chr29	8806141	8811778	2673.9	1356
EOG090R0081	Complete	Chr12	7324675	7342615	1548.2	1205
EOG090R0085	Complete	Chr04	8616372	8678853	2448.2	1748
EOG090R008C	Complete	Chr26	5262257	5303572	1723.9	1285
EOG090R008V	Complete	Chr19	9597624	9652587	2278.0	1400
EOG090R008X	Complete	Chr08	4163279	4182962	2397.8	1291
EOG090R009L	Complete	Chr23	1737274	1743940	852.3	548
EOG090R009O	Complete	Chr10	11747175	11769704	1618.1	1106
EOG090R009Z	Complete	Chr05	2953201	2976167	1821.2	962
EOG090R00A8	Complete	Chr24	2062798	2091807	798.1	691
EOG090R00AA	Complete	Chr15	10920738	10953577	1658.0	1201
EOG090R00AV	Complete	Chr25	4417576	4421429	1519.4	842
EOG090R00B3	Complete	Chr09	2990225	2999294	454.1	531
EOG090R00B5	Complete	Chr1z	2230619	2235828	1845.9	1080
EOG090R00BJ	Complete	Chr05	10531057	10544669	740.7	505
EOG090R00BT	Complete	Chr24	4392645	4430222	1572.4	980
EOG090R00BX	Complete	Chr28	8343980	8369775	671.4	680
EOG090R00C7	Complete	Chr15	9294274	9302890	291.3	1429
EOG090R00CO	Complete	Chr16	3962771	3970219	970.6	556
EOG090R00CT	Complete	Chr15	7783034	7789491	1303.7	1022
EOG090R00CZ	Complete	Chr08	5219137	5234799	1117.8	825
EOG090R00D1	Complete	Chr04	5608218	5625674	1929.4	1087
EOG090R00D5	Complete	Chr13	3180092	3207588	1373.5	1176
EOG090R00DG	Complete	Chr17	9914491	9926336	637.0	534
EOG090R00DH	Complete	Chr20	6612948	6637406	1756.0	1088
EOG090R00DV	Complete	Chr17	9106894	9129745	1463.4	977
EOG090R00E1	Complete	Chr10	11811384	11821650	2046.6	1112
EOG090R00E4	Complete	Chr03	3330734	3347221	2006.9	1656
EOG090R00E5	Complete	Chr29	372052	383947	991.3	967
EOG090R00EC	Complete	Chr03	3761557	3765404	324.4	359
EOG090R00ED	Complete	Chr10	5197868	5208883	3637.2	1893
EOG090R00EK	Complete	Chr02	5799426	5810230	703.8	847
EOG090R00EM	Complete	Chr21	8913744	8920726	795.8	856
EOG090R00EN	Complete	Chr23	11930381	11936421	603.7	894
EOG090R00ER	Complete	Chr19	4895176	4909379	1458.7	786
EOG090R00ES	Complete	Chr04	5277703	5281167	736.9	621
EOG090R00ET	Complete	Chr08	2982674	3008789	1959.0	1101
EOG090R00EU	Complete	Chr29	2100542	2119318	1900.1	1082
EOG090R00EW	Complete	Chr07	4460311	4476093	1577.8	1040
EOG090R00F1	Complete	Chr17	11006127	11014407	589.9	590
EOG090R00F7	Complete	Chr12	1441201	1444719	1824.7	998
EOG090R00FB	Complete	Chr09	5483237	5490327	975.5	540
EOG090R00FD	Complete	Chr12	7705645	7720387	2336.5	1195
EOG090R00FN	Complete	Chr09	1807878	1833923	1813.6	1067
EOG090R00FU	Complete	Chr18	9830979	9843846	491.9	730
EOG090R00FW	Complete	Chr18	5710046	5741442	1520.3	852
EOG090R00G5	Complete	Chr16	882062	902106	1232.6	1065
EOG090R00GA	Fragmented	Chr19	3108837	3114939	679.5	458
EOG090R00GI	Complete	Chr1z	9041771	9048674	238.2	675
EOG090R00GJ	Complete	Chr17	8658989	8686809	1929.1	1054
EOG090R00GP	Complete	Chr29	496807	505197	345.9	677
EOG090R00GW	Complete	Chr29	6936375	6943190	2242.8	1088
EOG090R00H3	Complete	Chr13	9643664	9691372	1924.7	1236
EOG090R00HN	Complete	Chr10	11187623	11197037	1270.8	723
