# BUSCO version is: 3.0.2
# The lineage dataset is: endopterygota_odb9 (Creation date: 2016-02-13, number of species: 35, number of BUSCOs: 2442)
# To reproduce this run: python /pub46/samw/bin/busco_v3/scripts/run_BUSCO.py -i ./chromosome.fa -o silk_db3 -l /pub46/samw/bin/busco_v3/DB/endopterygota_odb9/ -m genome -c 60 --long --limit 4 -z -sp heliconius_melpomene1
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090R0005	Complete	Chr12	1758494	1804625	8698.3	6461
EOG090R000A	Complete	Chr12	9708048	9722161	3516.3	2738
EOG090R0019	Complete	Chr13	16242943	16262495	4201.0	2173
EOG090R001E	Fragmented	Chr12	15341921	15352863	796.6	1103
EOG090R001T	Missing
EOG090R001Z	Complete	Chr17	13897660	13915692	2691.7	2313
EOG090R0020	Complete	Chr05	1273727	1330316	4428.4	4122
EOG090R002B	Complete	Chr19	11177665	11220030	2996.0	1937
EOG090R002C	Complete	Chr23	8899407	8924393	1303.9	1380
EOG090R002D	Complete	Chr08	12540614	12560830	4611.3	2031
EOG090R002O	Complete	Chr1z	17799412	17822737	2236.1	1857
EOG090R003E	Complete	Chr16	4113207	4161415	2809.6	1682
EOG090R003F	Complete	Chr25	8802702	8858231	3611.5	2278
EOG090R003U	Complete	Chr15	11719778	11744822	2226.6	1353
EOG090R0046	Complete	Chr11	13960850	13975290	2686.9	1815
EOG090R004J	Complete	Chr15	1546414	1576745	4199.2	2218
EOG090R004K	Complete	Chr1z	11094919	11104508	470.4	399
EOG090R004Q	Complete	Chr25	4770443	4835881	1638.0	1428
EOG090R005M	Complete	Chr12	15055775	15064933	673.7	560
EOG090R005O	Complete	Chr04	5885028	5891067	2848.8	1622
EOG090R005P	Complete	Chr25	4060704	4103390	2929.1	1799
EOG090R005Z	Complete	Chr22	13369411	13410119	1816.9	1436
EOG090R0062	Fragmented	Chr15	10757642	10768204	1530.9	939
EOG090R006N	Complete	Chr11	16860826	16875784	753.5	543
