# BUSCO version is: 3.0.2 
# The lineage dataset is: endopterygota_odb9 (Creation date: 2016-02-13, number of species: 35, number of BUSCOs: 2442)
# To reproduce this run: python ../scripts/run_BUSCO.py -i Heliconius_melpomene_melpomene_Hmel2_-_scaffolds.fa -o {Heliconius_melpomene_melpomene_Hmel2_-_scaffolds.fa}_BUSCO_long -l ../DB/endopterygota_odb9/ -m genome -c 110 --long --limit 4 -z -sp heliconius_melpomene1
#
# Busco id	Status	Contig	Start	End	Score	Length
EOG090R0005	Complete	Chr19	61054	116963	9042.9	7367
EOG090R000A	Complete	Chr19	1827742	1845483	3597.5	2973
EOG090R0019	Complete	Chr17	1030552	1046560	4231.0	2111
EOG090R001E	Complete	Chr19	1447021	1459415	1106.0	1454
EOG090R001T	Complete	Chr20	126881	165580	4185.4	2275
EOG090R001Z	Complete	Chr15	295094	308047	2686.7	2308
EOG090R0020	Complete	Chr10	5598670	5640593	4315.9	3838
EOG090R002B	Complete	Chr14	2131945	2154052	3040.6	1950
EOG090R002C	Complete	Chr18	1117085	1136825	1296.6	1321
EOG090R002D	Complete	Chr12	1540819	1560932	4618.7	2032
EOG090R002O	Complete	Chr21	1474026	1492304	2282.6	1901
EOG090R003E	Complete	Chr02	3848068	3871975	2821.2	1683
EOG090R003F	Complete	Chr08	324923	353657	3671.9	2282
EOG090R003U	Fragmented	Chr11	1310513	1330811	1958.0	1207
EOG090R0046	Complete	Chr07	770782	783861	2711.4	1882
EOG090R004J	Complete	Chr11	125365	153713	4301.4	2197
EOG090R004K	Complete	Chr21	383205	391397	459.1	413
EOG090R004Q	Complete	Chr08	898	22009	1653.6	1456
EOG090R005M	Complete	Chr19	1311575	1315648	643.8	573
EOG090R005O	Complete	Chr1z	1514839	1520523	2887.3	1622
EOG090R005P	Complete	Chr08	100630	122784	3026.0	1763
EOG090R005Z	Complete	Chr13	458506	479434	1856.7	1505
EOG090R0062	Complete	Chr11	1960449	1983683	3169.0	2037
EOG090R006N	Complete	Chr07	21763	30666	759.8	569
EOG090R006P	Complete	Chr18	3737076	3754367	2579.3	1391
EOG090R0076	Complete	Chr13	603515	617807	1136.8	670
EOG090R007H	Complete	Chr02	3478764	3500262	3118.1	1459
EOG090R007V	Complete	Chr07	1716574	1747725	1435.6	1254
EOG090R0080	Complete	Chr07	172590	180238	2695.6	1364
EOG090R0081	Complete	Chr19	2007977	2021273	1403.8	1117
EOG090R0085	Complete	Chr1z	1298882	1332073	2510.2	1745
EOG090R008C	Complete	Chr19	3442891	3462993	1779.2	1282
EOG090R008V	Complete	Chr14	824572	844271	1704.5	1220
EOG090R008X	Complete	Chr12	272970	287266	2394.4	1266
EOG090R009L	Complete	Chr18	498289	505925	853.8	544
EOG090R009O	Complete	Chr20	2101521	2117795	1661.6	1128
EOG090R009Z	Complete	Chr10	7190383	7211348	1848.6	966
EOG090R00A8	Complete	Chr17	1070932	1086837	1044.4	804
EOG090R00AA	Complete	Chr11	1844988	1868575	1707.4	1205
EOG090R00AV	Complete	Chr08	426886	430359	1529.7	844
EOG090R00B3	Complete	Chr06	1269891	1275992	467.6	446
EOG090R00B5	Complete	Chr21	83215	86091	1049.5	644
EOG090R00BJ	Complete	Chr10	1679129	1696115	890.5	568
EOG090R00BT	Complete	Chr17	681632	703483	1576.7	983
EOG090R00BX	Complete	Chr10	3886262	3900650	726.9	1072
EOG090R00C7	Complete	Chr11	2951359	2957895	368.6	1208
EOG090R00CO	Complete	Chr02	266448	270037	948.7	567
EOG090R00CT	Complete	Chr11	447031	455173	1311.4	1027
EOG090R00CZ	Complete	Chr12	913745	919744	1125.8	797
EOG090R00D1	Complete	Chr1z	4586247	4601319	1892.4	1043
EOG090R00D5	Complete	Chr17	349554	362888	1461.5	1139
EOG090R00DG	Complete	Chr15	1515034	1541267	1396.0	968
EOG090R00DH	Complete	Chr12	1803024	1817509	1804.6	1087
EOG090R00DV	Complete	Chr15	323108	337640	1468.1	921
EOG090R00E1	Complete	Chr20	2059295	2069639	2383.4	1314
EOG090R00E4	Complete	Chr05	377218	390451	2339.6	1681
EOG090R00E5	Complete	Chr07	4528913	4538146	1030.4	997
EOG090R00EC	Complete	Chr05	676372	681457	334.9	355
EOG090R00ED	Complete	Chr20	2502927	2513351	3620.3	1874
EOG090R00EK	Complete	Chr07	151518	159062	759.1	872
EOG090R00EM	Complete	Chr04	740769	748267	818.5	830
EOG090R00EN	Complete	Chr18	1749371	1754377	619.8	1020
EOG090R00ER	Complete	Chr14	100569	114400	1459.5	793
EOG090R00ES	Complete	Chr1z	4689582	4697047	800.9	686
EOG090R00ET	Complete	Chr12	1171987	1185812	2015.1	1100
EOG090R00EU	Complete	Chr07	6023711	6032394	949.8	583
EOG090R00EW	Complete	Chr09	277445	301199	2701.8	1770
EOG090R00F1	Complete	Chr15	1059385	1076307	1375.3	1007
EOG090R00F7	Complete	Chr19	174217	177729	1839.0	1005
EOG090R00FB	Complete	Chr06	408187	412766	979.4	537
EOG090R00FD	Complete	Chr19	71062	80486	2397.7	1218
EOG090R00FN	Complete	Chr06	1847702	1859495	1956.2	1069
EOG090R00FU	Complete	Chr16	881787	895047	489.4	895
EOG090R00FW	Complete	Chr16	938152	950379	1539.8	858
EOG090R00G5	Complete	Chr02	4960636	4972393	1299.6	1062
EOG090R00GA	Fragmented	Chr14	818011	824597	487.4	255
EOG090R00GI	Complete	Chr21	3003988	3013555	208.1	813
EOG090R00GJ	Complete	Chr15	1	16576	1900.3	1030
EOG090R00GP	Fragmented	Chr07	4654174	4660764	226.2	255
EOG090R00GW	Complete	Chr07	521392	530304	2239.0	1087
EOG090R00H3	Complete	Chr17	2881330	2902161	1753.0	1141
EOG090R00HN	Complete	Chr20	857725	863065	1288.1	646
EOG090R00HO	Complete	Chr20	1639490	1643296	911.6	1006
EOG090R00HZ	Complete	Chr14	608662	615709	787.7	1316
EOG090R00ID	Complete	Chr10	177241	188205	851.4	854
EOG090R00IL	Complete	Chr20	1341164	1348936	1895.9	1003
EOG090R00IN	Complete	Chr20	113688	133454	1483.8	995
EOG090R00IP	Complete	Chr06	3734951	3742396	737.2	636
EOG090R00IS	Complete	Chr1z	2919432	2922962	2264.4	992
EOG090R00IU	Missing
EOG090R00J9	Complete	Chr10	1188461	1201714	1160.4	643
EOG090R00JC	Complete	Chr19	4947466	4963530	1020.8	825
EOG090R00JI	Complete	Chr17	1645087	1651163	909.4	508
EOG090R00JX	Complete	Chr02	5907233	5910874	697.1	909
EOG090R00K8	Complete	Chr15	1703391	1718645	1114.6	764
EOG090R00KE	Complete	Chr07	268716	275247	449.6	337
EOG090R00KQ	Complete	Chr21	2034387	2051121	1017.2	805
EOG090R00L2	Complete	Chr1z	65640	75016	1381.6	703
EOG090R00LC	Complete	Chr1z	1752154	1758657	1632.2	947
EOG090R00LF	Complete	Chr19	2961820	2971513	1056.7	661
EOG090R00LK	Complete	Chr12	1434013	1450532	1986.6	1102
EOG090R00LW	Complete	Chr06	998129	1015018	2091.5	1059
EOG090R00MH	Complete	Chr17	1978067	1984580	794.5	504
EOG090R00MJ	Complete	Chr13	985239	1000763	1158.0	687
EOG090R00MK	Complete	Chr04	522949	532366	980.0	871
EOG090R00MS	Complete	Chr17	331069	346219	794.2	494
EOG090R00N0	Complete	Chr10	3020720	3029172	1479.5	857
EOG090R00N6	Complete	Chr10	1653175	1667019	1818.0	1091
EOG090R00NG	Complete	Chr20	2045570	2057819	1628.6	1018
EOG090R00NR	Complete	Chr12	2524654	2539614	1590.5	946
EOG090R00O0	Complete	Chr21	1287534	1300587	679.7	387
EOG090R00OF	Complete	Chr02	653501	658718	734.9	788
EOG090R00OG	Complete	Chr19	2088404	2093043	1858.2	960
EOG090R00OQ	Complete	Chr05	217641	227490	1574.5	999
EOG090R00OS	Complete	Chr15	611354	623316	1645.4	881
EOG090R00P2	Complete	Chr20	4856165	4865516	1687.6	833
EOG090R00P7	Complete	Chr19	33642	63076	1247.8	800
EOG090R00PE	Complete	Chr17	2917494	2937518	1393.1	845
EOG090R00PJ	Complete	Chr20	545308	557509	1633.6	863
EOG090R00PK	Complete	Chr20	2618751	2635631	1817.4	851
EOG090R00PX	Complete	Chr10	473111	484031	1633.1	860
EOG090R00Q3	Complete	Chr08	219403	229434	2011.1	931
EOG090R00Q8	Complete	Chr16	228354	231074	837.8	639
EOG090R00QD	Complete	Chr17	144862	158077	1454.7	1797
EOG090R00QN	Complete	Chr13	5388	10540	478.7	289
EOG090R00QQ	Complete	Chr17	2706765	2718810	1745.8	966
EOG090R00QU	Complete	Chr12	170337	179976	567.1	597
EOG090R00QV	Complete	Chr19	422323	427361	661.9	484
EOG090R00R6	Complete	Chr19	3508018	3530127	1232.9	586
EOG090R00R9	Complete	Chr21	3169847	3185853	1681.1	960
EOG090R00RE	Complete	Chr21	2058432	2067767	1531.0	932
EOG090R00RN	Complete	Chr13	433609	449660	1032.0	736
EOG090R00RO	Complete	Chr20	2558177	2570508	1354.1	1008
EOG090R00RS	Duplicated	Chr08	82918	97742	1744.9	977
EOG090R00RS	Duplicated	Chr21	410226	426538	1714.6	949
EOG090R00RZ	Complete	Chr15	418151	436409	1410.9	1331
EOG090R00S9	Complete	Chr10	750475	765143	1984.2	1150
EOG090R00SE	Complete	Chr1z	2405817	2412142	1551.7	832
EOG090R00SG	Complete	Chr03	255382	271302	371.3	598
EOG090R00SX	Complete	Chr02	2103509	2112296	414.2	445
EOG090R00TI	Complete	Chr12	3441231	3456270	1731.8	909
EOG090R00TN	Complete	Chr15	847681	854645	334.7	373
EOG090R00TT	Complete	Chr21	229557	240024	904.3	645
EOG090R00TU	Complete	Chr13	370463	378867	390.5	394
EOG090R00U0	Complete	Chr21	122586	137089	1166.1	742
EOG090R00U8	Complete	Chr19	1995129	2002908	745.3	636
EOG090R00UB	Complete	Chr11	229593	239801	1729.8	866
EOG090R00UN	Complete	Chr05	13348	18410	278.6	287
EOG090R00UP	Complete	Chr16	719712	721109	115.2	167
EOG090R00UR	Complete	Chr1z	2729751	2739135	1721.2	892
EOG090R00UV	Complete	Chr18	3891751	3906726	1015.8	687
EOG090R00VH	Complete	Chr07	122570	140148	1450.4	886
EOG090R00VJ	Complete	Chr10	1154241	1166607	1444.3	1201
EOG090R00W1	Complete	Chr04	229089	237558	1412.2	727
EOG090R00W5	Complete	Chr16	7016	16966	884.1	422
EOG090R00WW	Complete	Chr1z	2937402	2944607	1489.9	1520
EOG090R00X2	Complete	Chr04	1632683	1636836	1714.3	919
EOG090R00X3	Complete	Chr07	903334	907188	1279.8	957
EOG090R00X4	Complete	Chr03	59315	64595	1195.6	773
EOG090R00X9	Complete	Chr11	666428	678544	1787.6	977
EOG090R00XB	Complete	Chr04	865766	870410	1231.6	776
EOG090R00XC	Complete	Chr16	439876	448182	988.3	707
EOG090R00XH	Complete	Chr08	450313	457680	1003.3	843
EOG090R00XJ	Complete	Chr13	118518	126003	524.9	642
EOG090R00XK	Complete	Chr19	28026	31355	1550.2	903
EOG090R00XX	Complete	Chr07	5458082	5473702	1347.5	1227
EOG090R00Y4	Complete	Chr10	1457313	1469339	1118.2	657
EOG090R00YE	Complete	Chr20	2691253	2697823	1930.4	884
EOG090R00YJ	Complete	Chr12	4227992	4233122	748.1	623
EOG090R00YM	Complete	Chr10	5456253	5473589	1463.5	1030
EOG090R00YO	Missing
EOG090R00YP	Complete	Chr20	5514965	5526594	1655.1	961
EOG090R00YS	Complete	Chr10	113318	124486	1344.3	1045
EOG090R00YZ	Complete	Chr12	1419446	1422235	1430.2	705
EOG090R00Z1	Complete	Chr21	992618	1009107	1276.6	903
EOG090R00Z5	Complete	Chr1z	147469	151795	1405.0	905
